slug,status,canonical
circle-slash-2,canonical,circle-slash-2
circle-slash,canonical,circle-slash
circle-slashed,deprecated,circle-slash-2
circle-small,canonical,circle-small
circle-star,canonical,circle-star
circle-stop,canonical,circle-stop
circle-user-round,canonical,circle-user-round
circle-user,canonical,circle-user
circle-x,canonical,circle-x
circle,canonical,circle
circuit-board,canonical,circuit-board
citrus,canonical,citrus
clapperboard,canonical,clapperboard
clipboard-check,canonical,clipboard-check
clipboard-clock,canonical,clipboard-clock
clipboard-copy,canonical,clipboard-copy
clipboard-edit,deprecated,clipboard-pen
clipboard-list,canonical,clipboard-list
clipboard-minus,canonical,clipboard-minus
clipboard-paste,canonical,clipboard-paste
clipboard-pen-line,canonical,clipboard-pen-line
clipboard-pen,canonical,clipboard-pen
clipboard-plus,canonical,clipboard-plus
clipboard-signature,deprecated,clipboard-pen-line
clipboard-type,canonical,clipboard-type
clipboard-x,canonical,clipboard-x
clipboard,canonical,clipboard
clock-1,canonical,clock-1
clock-10,canonical,clock-10
clock-11,canonical,clock-11
clock-12,canonical,clock-12
clock-2,canonical,clock-2
clock-3,canonical,clock-3
clock-4,canonical,clock-4
clock-5,canonical,clock-5
clock-6,canonical,clock-6
clock-7,canonical,clock-7
clock-8,canonical,clock-8
clock-9,canonical,clock-9
clock-alert,canonical,clock-alert
clock-arrow-down,canonical,clock-arrow-down
clock-arrow-left,canonical,clock-arrow-left
clock-arrow-right,canonical,clock-arrow-right
clock-arrow-up,canonical,clock-arrow-up
clock-check,canonical,clock-check
clock-fading,canonical,clock-fading
clock-plus,canonical,clock-plus
clock,canonical,clock
closed-caption,canonical,closed-caption
cloud-alert,canonical,cloud-alert
cloud-backup,canonical,cloud-backup
cloud-check,canonical,cloud-check
cloud-cog,canonical,cloud-cog
cloud-download,canonical,cloud-download
cloud-drizzle,canonical,cloud-drizzle
cloud-fog,canonical,cloud-fog
cloud-hail,canonical,cloud-hail
cloud-lightning,canonical,cloud-lightning
cloud-moon-rain,canonical,cloud-moon-rain
cloud-moon,canonical,cloud-moon
cloud-off,canonical,cloud-off
cloud-rain-wind,canonical,cloud-rain-wind
cloud-rain,canonical,cloud-rain
cloud-snow,canonical,cloud-snow
cloud-sun-rain,canonical,cloud-sun-rain
cloud-sun,canonical,cloud-sun
cloud-sync,canonical,cloud-sync
cloud-upload,canonical,cloud-upload
cloud,canonical,cloud
cloudy,canonical,cloudy
clover,canonical,clover
club,canonical,club
code-2,deprecated,code-xml
code-square,deprecated,square-code
code-xml,canonical,code-xml
code,canonical,code
coffee,canonical,coffee
cog,canonical,cog
coins,canonical,coins
columns-2,canonical,columns-2
columns-3-cog,canonical,columns-3-cog
columns-3,canonical,columns-3
columns-4,canonical,columns-4
columns-settings,deprecated,columns-3-cog
columns,deprecated,columns-2
combine,canonical,combine
command,canonical,command
compass,canonical,compass
component,canonical,component
computer,canonical,computer
concierge-bell,canonical,concierge-bell
